,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
37532,False,,2915739,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",,31629,tt1361809,te,Arundhati,Arundhati (Anushka) belongs to Gadwal samsthanam in 1920’s. She is known for her bravery in saving the Samstanam by killing Pasupathi (Sonu Sood) an evildoer. But the spirit of Pasupathi haunts that place. Another girl is born in the same lineage after 3 generations and she is named as Arundhati. The spirit of Pasupati is after Arundhati to take the revenge.,0.558002,/uytjw0EeZmNBO9gmQoDfzWnli1E.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2009-01-16,14000000.0,132.0,"[{'iso_639_1': 'te', 'name': 'తెలుగు'}]",Released,,Arundhati,False,5.6,7.0
22926,False,"{'id': 160677, 'name': 'Ninja, Band of Assassins Collection', 'poster_path': '/jZ9wA4Cr1UeCZSBz3Uz3XaLo7dr.jpg', 'backdrop_path': None}",0,[],,201414,tt0187501,ja,新・忍びの者,"[Period covered: 1595-1600] Third film in the famous shinobi no mono series. We last saw ninja Ishikawa Goemon (Raizo Ichikawa), as he was about to be boiled alive. But a good ninja is both hard to find, and even harder to kill. With the help of the enigmatic Hattori Hanzo, Goemon lives to skulk another day, and sets his sights on bringing down the warlord who tried to turn him into soup – Toyotomi Hideyoshi. And as always, in the background, the suble hand of Tokugawa Ieyasu is pulling strings as he plots to rule all of Japan!",0.147794,/mXcT47vbE9PgkNjgCnUp1Rglqge.jpg,"[{'name': 'Daiei Studios', 'id': 881}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1963-12-28,0.0,86.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Ninja 3: Goemon Will Never Die!,False,8.0,1.0
27204,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",,19525,tt0039501,en,It Happened in Brooklyn,"Danny has been in the army for 4 years, yet all he thinks about is Brooklyn and how great it is. When he returns after the war, he soon finds that Brooklyn is not so nice after all. He is able to share a place with Nick, the janitor of his old High School, and get a job as a singer in a music store. He also meets Leo, a talented pianist and his teacher Anne, whose dream is to singing Opera. When Jamie arrives from England, Danny tries to show him the Brooklyn experience and help him compose modern swing music. Together, these four also try to help Leo get the Brooklyn Music scholarship.",0.765129,/AiHv3nF0xqZRmoIHNUluW71LkLO.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1947-04-07,0.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,IT ALL TAKES PLACE IN THAT FASCINATING WONDERLAND OF THE FAR EAST...BROOKLYN!,It Happened in Brooklyn,False,6.4,5.0
31959,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,284303,tt3086442,de,"Ich seh, Ich seh","In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.",5.399896,/1IXU1O05LVe2B1ivg2mkFVVbb53.jpg,"[{'name': 'Radius Productions', 'id': 10299}, {'name': 'Koch Media', 'id': 10559}, {'name': 'Ulrich Seidl Film Produktion GmbH', 'id': 25523}]","[{'iso_3166_1': 'AT', 'name': 'Austria'}]",2014-08-29,1178196.0,100.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A mother should look out for her sons.,Goodnight Mommy,False,6.6,344.0
24535,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,20270,tt0160706,en,The Prodigy,"""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues, drives Truman, through the pressure of constant violence and grief, to understand his own capacity for both bloodshed and compassion. Ultimately this reveals to Truman that he as with all of us, must find our place in this world or as Rains would say ""our place in this grand design."" This action begins quickly as Truman meets with a turncoat from a rival gang. This tense showdown erupts quickly into mayhem, when Rains makes his unexpected entrance. In the wake of the ensuing bloodbath, Truman is forced to reevaluate his own role in the small, violent world he inhabits, suddenly aware that there are larger powers at work which he does not understand...",0.626723,/sC6wGBaM9Xy2zd2tRwOxrLl7Zlr.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-01,0.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Sometimes what you are looking for... is looking for you.,The Prodigy,False,6.0,1.0
19433,False,,0,"[{'id': 18, 'name': 'Drama'}]",,179251,tt0025964,en,We Live Again,"Nekhludoff, a Russian nobleman serving on a jury, discovers that the young girl on trial, Katusha, is someone he once seduced and abandoned and that he himself bears responsibility for reducing her to crime. He sets out to redeem her and himself in the process.",0.345705,/i23ln3FmSN3YdpzADeqVTRtceP5.jpg,"[{'name': 'Samuel Goldwyn Company, The', 'id': 28205}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-11-01,0.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,We Live Again,False,0.0,0.0
17137,False,,32000000,"[{'id': 35, 'name': 'Comedy'}]",,52077,tt1528313,fr,Rien à déclarer,"During the elimination of the Belgian/French border in the 90s, a Belgian customs officer is forced to team up with one of his French counterparts.",8.371842,/tYJHdYAAoC9yIfnjta55zc3iezS.jpg,"[{'name': 'SCOPE Invest', 'id': 2250}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinéCinéma', 'id': 6301}, {'name': 'Pathé', 'id': 7981}, {'name': 'Scope Pictures', 'id': 11199}, {'name': 'Région Wallone', 'id': 11920}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': ""Les Productions du Ch'timi"", 'id': 23441}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2010-12-15,0.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Nothing to Declare,False,5.7,275.0
26103,False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,64084,tt0111093,en,Scorned,A vengeful widow is out to seduce the relatives of the man she blames for her husband's death.,3.821994,/dKIOJzWCb83NVvLJdgX109uew68.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-07-13,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hell Hath No Fury Like A Woman...,Scorned,False,4.9,7.0
44510,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",,75294,tt0087043,ru,Человек-невидимка,"Based upon the famous novel by H.G.Wells. A poor scientist named Griffin discovers a way to make things invisible. Since he has no money to continue his research, he decides to perform his only experiment on himself. After becoming invisible, Griffin has a lot of trouble trying to conceal this from other people.",0.077218,/xR2DDwnOSbnUsfI7deRWusmtrdA.jpg,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1984-01-12,0.0,89.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Invisible Man,False,5.0,1.0
33878,False,,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10752, 'name': 'War'}]",http://rockthekasbahmovie.com/,253414,tt3164256,en,Rock the Kasbah,"A washed-up music producer finds one last shot at redemption with a golden-voiced young girl in Afghanistan. However, when jealousy gets the better of a disgruntled ex-boyfriend, he decides to oppose the young star with talent of his own.",10.394389,/7Ljch9R3uie8lV3z1GUUHZRkvKH.jpg,"[{'name': 'Shangri-La Entertainment', 'id': 2265}, {'name': 'QED International', 'id': 11029}, {'name': 'Dune Films', 'id': 19477}, {'name': 'Venture Forth', 'id': 20313}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-10-22,3020664.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Opportunity rocks where you least expect it.,Rock the Kasbah,False,5.2,102.0
39053,False,,0,"[{'id': 27, 'name': 'Horror'}]",,105184,tt0082361,de,Der Fan,"The hero-worship that Simone has for a pop singer is built to a crescendo until she passes out when she finally sees him up-close in a crowd of fans pushing him for autographs. She is later shocked when he lets her know that he does not love her. In an instant, she is caught ""in a trance"" and feels a murderous urge that is bigger than the both of them.",1.358396,/t2OXORE4uSsVvCILl1f5aOqhmc0.jpg,"[{'name': 'Barbara Moorse Workshop', 'id': 38573}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1982-06-04,0.0,89.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,An obsession gone mad,Trance,False,7.0,11.0
33799,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}]",,72650,tt1604670,cn,Bou ying,"Real estate tycoon Wong Ho-Chiu (Anthony Wong Chau-Sang) suffers great pain when his daughter Daisy (Janice Man) is kidnapped and killed. Wong Ho-Chiu turns to his trusted bodyguard Chor (Richie Ren) to seek out the perpetrators and exact revenge. Wong Ho-Chiu goes one step further and orders Chor to videotape each of their executions. Once Chor tracks down the final perpetrator Wong Ho-Chiu decides to kill that person himself. When Wong Ho-Chiu learns about the perpetrator’s past, he has second thoughts …",1.773603,/ePvJaFTHoFUvg3Cmpmr1ku1ikuW.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2011-05-05,0.0,94.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,Thou shalt not kill...,Punished,False,5.8,10.0
37183,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",http://www.ahistoriadaeternidade.com/,288286,tt3565050,pt,A História da Eternidade,"In a small village in the hinterland, three stories of love and desire are changing the emotional landscape of its residents. Characters of a romanesque world in which their conceptions of life are limited on one side by human instincts, on the other by a blind and fatalist fate.",0.172293,/mcJscYse8IyzEMcmbQUWaexksWy.jpg,[],"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2014-07-26,0.0,121.0,"[{'iso_639_1': 'pt', 'name': 'Português'}]",Released,Only desire is stronger than love,The History of Eternity,False,8.3,4.0
3606,False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,21128,tt0102592,en,One False Move,"Following a series of drug deals and murders, three criminals -- Fantasia, Ray Malcolm and Pluto -- travel from Los Angeles to Houston, finally arriving in a small Arkansas town to go into hiding. Two detectives from the LAPD, who are already on the case, contact the town's sheriff, Dale Dixon, to alert him of the fugitives' presence in the area. Underestimating Dixon, the criminals have no idea what they are about to face.",3.14325,/2B3H16xQlZJJ3Py2QwuXN8rUjFh.jpg,"[{'name': 'IRS Media', 'id': 1930}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-05-08,1543112.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All it takes to bring him down is one bullet... one woman or... One False Move.,One False Move,False,6.7,28.0
42297,False,,0,[],,384373,tt4626160,es,Poveda,,0.032942,/aZlUl9M9cvhSFzMihLIPmXmquat.jpg,"[{'name': 'Goya Producciones Cinematográficas S.A.', 'id': 41800}, {'name': 'ThreeColumnsEntertainment', 'id': 73569}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2016-02-24,0.0,,[],Released,,Poveda,False,0.0,0.0
2561,False,,80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,12117,tt0128278,en,Instinct,"Dr. Ethan Powell, an anthropologist, is in Africa studying apes when he is lost for two years. When he is found, he kills 3 men and puts 2 in the hospital. Cuba Gooding's character is a psychiatrist who wants to take up the task of trying to get Dr. Powell to speak again and maybe even stand judgment at a trial for his release from prison of mental cases. Along the way, Cuba has to deal with also helping the mental patients that are being abused and neglected. In this process Cuba learns a few things about himself and life, and so does Anthony Hopkins character, Dr. Powell.",6.236116,/utbDE181LCMA27E1CgGtaC4XrbF.jpg,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-06-04,0.0,126.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Instinct,False,6.3,149.0
29960,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",,75162,tt0079319,en,Hurricane,"The story of the desperate love affair between a young Samoan chief and a beautiful American painter, against the will of her father, the powerful governor of the island. Amid this man-made tension comes a powerful hurricane so devastating, the lives of the lovers and the entire island are imperiled.",0.323301,/f3VMQVnZ0J276LUnulfHPE43nSq.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1979-04-12,0.0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There is only one safe place... in each other's arms.,Hurricane,False,3.5,2.0
